address,borough,unitsres
101-16 39 AVENUE,QN,7
101-18 39 AVENUE,QN,4
38-21 99 STREET,QN,7
97-06 38 AVENUE,QN,8
109-14 34 AVENUE,QN,4
34-13 109 STREET,QN,8
34-28 110 STREET,QN,4
34-30 110 STREET,QN,4
34-32 110 STREET,QN,4
109-18 34 AVENUE,QN,6
104-64 39 AVENUE,QN,8
34-35 106 STREET,QN,4
370 GATES AVENUE,BK,4
366 GATES AVENUE,BK,8
34-33 106 STREET,QN,4
196 LEFFERTS PL,BK,3
232 QUINCY STREET,BK,6
417 GATES AVENUE,BK,8
32-39 JUNCTION BOULEVARD,QN,6
32-37 JUNCTION BOULEVARD,QN,6
32-41 JUNCTION BOULEVARD,QN,6
164 HERKIMER STREET,BK,4
157 LEXINGTON AVENUE,BK,4
 FRANKLIN AVENUE,BK,10
951 PACIFIC STREET,BK,3
762 MARCY AVENUE,BK,7
1155 BEDFORD AVENUE,BK,8
215 PUTNAM AVENUE,BK,6
35 MADISON STREET,BK,6
1190 BEDFORD AVENUE,BK,6
1198 BEDFORD AVENUE,BK,8
170 PUTNAM AVENUE,BK,3
35-42 98 STREET,QN,4
573 CLASSON AVENUE,BK,4
135 LEFFERTS PLACE,BK,8
176 QUINCY STREET,BK,8
578 STERLING PLACE,BK,4
580 STERLING PLACE,BK,8
1380 BEDFORD AVENUE,BK,10
1384 BEDFORD AVENUE,BK,10
1382 BEDFORD AVENUE,BK,10
1378 BEDFORD AVENUE,BK,10
173-16 89 AVENUE,QN,3
172-41 90 AVENUE,QN,3
172-39 90 AVENUE,QN,3
173-18 89 AVENUE,QN,3
179-35 90 AVENUE,QN,8
33-20 104 STREET,QN,3
33-22 104 STREET,QN,3
98-27 50 AVENUE,QN,3
615 ST JOHNS PLACE,BK,7
35-23 86 STREET,QN,5
35-21 86 STREET,QN,5
375 PROSPECT PLACE,BK,8
668 NOSTRAND AVENUE,BK,9
34-46 59TH STREET,QN,3
40-18 68 STREET,QN,7
40-21 69 STREET,QN,5
40-23 69 STREET,QN,5
40-47 77 STREET,QN,5
40-48 68 STREET,QN,3
66-06 WOODSIDE AVENUE,QN,4
55-46 96 STREET,QN,6
547 VANDALIA AVENUE,BK,3
552 VANDALIA AVENUE,BK,3
869 PACIFIC STREET,BK,4
466 PULASKI STREET,BK,8
908 EAST 230 STREET,BX,4
726 BERGEN STREET,BK,14
53-12 102 STREET,QN,7
744 WILLOUGHBY AVENUE,BK,4
24 FAYETTE STREET,BK,7
22 FAYETTE STREET,BK,6
196 WEST 134 STREET,MN,3
190 WEST 134 STREET,MN,3
192 WEST 134 STREET,MN,3
188 WEST 134 STREET,MN,3
31-29 30 STREET,QN,9
2131 3 AVENUE,MN,8
396 SCHROEDERS AVENUE,BK,8
312 WEST 112 STREET,MN,8
124 EAST 118 STREET,MN,8
1532 45 STREET,BK,3
159 WEST 136 STREET,MN,11
123 WEST 128 STREET,MN,3
128 WEST 129 STREET,MN,3
461 WEST 150 STREET,MN,12
398 SCHROEDERS AVENUE,BK,8
400 SCHROEDERS AVENUE,BK,8
597 PRESIDENT STREET,BK,4
357 4 STREET,BK,4
314 12 STREET,BK,6
294 12 STREET,BK,4
306 12 STREET,BK,4
257 13TH STREET,BK,4
315 12 STREET,BK,4
2086 5 AVENUE,MN,8
233 WEST 121 STREET,MN,3
223 WEST 121 STREET,MN,3
1587 2 AVENUE,MN,3
25-24 BROADWAY,QN,3
35-36 32 STREET,QN,4
108 WEST 123 STREET,MN,4
434 EAST 84 STREET,MN,20
419 EAST 84 STREET,MN,4
381 PALMETTO STREET,BK,8
263 WEST 121 STREET,MN,3
553 WEST 182 STREET,MN,8
1409 47 STREET,BK,3
110 WEST 123 STREET,MN,6
65 EAST 119 STREET,MN,3
75 EAST 119 STREET,MN,3
67 EAST 119 STREET,MN,3
71 EAST 118 STREET,MN,3
72 EAST 119 STREET,MN,3
70 EAST 119 STREET,MN,3
215 WEST 122 STREET,MN,6
1076 BROADWAY,BK,4
3207 OXFORD AVENUE,BX,12
4819 14 AVENUE,BK,3
1420 49 STREET,BK,3
1422 49 STREET,BK,3
72 WEST 132 STREET,MN,3
66 WEST 132 STREET,MN,3
86 NAGLE AVENUE,MN,5
138 HILLSIDE AVENUE,MN,8
136 HILLSIDE AVENUE,MN,8
1817 UNIVERSITY AVENUE,BX,8
169 WEST 228 STREET,MN,9
60 JEFFERSON STREET,BK,8
33 TROUTMAN STREET,BK,9
625 BUSHWICK AVENUE,BK,8
1534 PUTNAM AVENUE,BK,8
406 CORNELIA STREET,BK,8
1820 EDISON AVENUE,BX,10
197 HIMROD STREET,BK,6
954 ROGERS PLACE,BX,11
3 RIDGEWOOD PLACE,BK,4
668 56 STREET,BK,6
47-25 99 STREET,QN,3
99-21 CORONA AVENUE,QN,7
102-49 CORONA AVENUE,QN,4
1441 54 STREET,BK,4
1437 54 STREET,BK,3
139 15 STREET,BK,8
63 COOPER STREET,MN,6
1214 49 STREET,BK,3
1223 50 STREET,BK,3
94-68 45 AVENUE,QN,4
1235 51 STREET,BK,3
1233 51 STREET,BK,3
1272 56 STREET,BK,3
971 56 STREET,BK,4
947 55 STREET,BK,6
1571 46 STREET,BK,4
1573 46 STREET,BK,4
671 HENRY STREET,BK,5
316 EVERGREEN AVENUE,BK,8
57 HIMROD STREET,BK,4
631 GRAND AVENUE,BK,8
283 ELDERT STREET,BK,4
1814 BLEECKER STREET,QN,7
689 QUINCY STREET,BK,8
1367 58 STREET,BK,3
240 CARROLL STREET,BK,4
241 CARROLL STREET,BK,4
140 DEGRAW STREET,BK,6
109 NASSAU AVENUE,BK,3
9-17 27 AVENUE,QN,8
1390 PUTNAM AVE,BK,8
1454 GREENE AVENUE,BK,6
1343 46 STREET,BK,4
1408 47 STREET,BK,8
1410 47 STREET,BK,8
1404 47 STREET,BK,4
1805 SEWARD AVENUE,BX,8
1373 47 STREET,BK,3
1568 49 STREET,BK,3
710 HART STREET,BK,8
1607 45 STREET,BK,4
1101 WILLOUGHBY AVENUE,BK,3
148 EAST 98 STREET,MN,11
1111 ASHFORD STREET,BK,8
550 VANDALIA AVENUE,BK,3
1115 ASHFORD STREET,BK,8
1117 ASHFORD STREET,BK,8
485 VANDALIA AVENUE,BK,8
481 VANDALIA AVENUE,BK,8
345 LINDEN STREET,BK,6
270 12 STREET,BK,4
106 JEFFERSON AVENUE,BK,4
1202 BEDFORD AVENUE,BK,8
115 FATHER ZEISER PLACE,BX,9
318 WEST 47 STREET,MN,5
546 VANDALIA AVENUE,BK,3
720 EAST 220 STREET,BX,8
3935 CARPENTER AVENUE,BX,10
323 EAST 53RD STREET,MN,11
102-45 JAMAICA AVENUE,QN,6
3144 HULL AVENUE,BX,8
52-13 VAN LOON STREET,QN,3
86-45 GRAND AVENUE,QN,3
84-04 QUEENS BOULEVARD,QN,3
188 GUERNSEY STREET,BK,6
EAST 232 STREET,BX,10
EAST 161 STREET,BX,13
2854 BRIGHTON 4 STREET,BK,6
102-18 LARUE AVENUE,QN,3
108-17 37 AVENUE,QN,8
108-47 37 DRIVE,QN,3
108-45 37 DRIVE,QN,3
37-20 111 STREET,QN,4
41-15 108 STREET,QN,7
102-30 43 AVENUE,QN,5
101-20 43 AVENUE,QN,4
101-16 43 AVENUE,QN,4
730 PROSPECT PLACE,BK,8
727 PROSPECT PLACE,BK,8
677 CLASSON AVENUE,BK,16
675 CLASSON AVENUE,BK,16
679 CLASSON AVENUE,BK,6
629 GRAND AVENUE,BK,6
170-14 89 AVENUE,QN,10
141-21 85 ROAD,QN,8
141-23 85 ROAD,QN,8
141-13 84 DRIVE,QN,8
141-15 85 ROAD,QN,8
141-15 84 DRIVE,QN,7
141-41 PERSHING CRESCENT,QN,6
84-21 LANDER STREET,QN,9
84-19 LANDER STREET,QN,8
141-31 PERSHING CRESCENT,QN,8
141-38 84 ROAD,QN,8
84-25 LANDER STREET,QN,9
84-17 LANDER STREET,QN,8
34-44 59TH STREET,QN,3
41-59 71 STREET,QN,5
65-44 WOODSIDE AVENUE,QN,7
401 SCHROEDERS AVENUE,BK,8
69-08 37 ROAD,QN,4
65-33 38 AVENUE,QN,5
67-19 ROOSEVELT AVENUE,QN,9
491 VANDALIA AVENUE,BK,8
455 VANDALIA AVENUE,BK,8
479 VANDALIA AVENUE,BK,8
487 VANDALIA AVENUE,BK,8
457 VANDALIA AVENUE,BK,8
1113 ASHFORD STREET,BK,8
1567 47 STREET,BK,3
1582 46TH STREET,BK,4
1421 57 STREET,BK,6
1423 57 STREET,BK,4
814 DEAN STREET,BK,3
800 DEAN STREET,BK,4
830 DEAN STREET,BK,3
655 WASHINGTON AVENUE,BK,10
1565 53 STREET,BK,4
1567 53 STREET,BK,3
63-50 SAUNDERS STREET,QN,6
53-16 97 STREET,QN,4
63-86 WETHEROLE STREET,QN,8
94-50 45 AVENUE,QN,7
94-49 ALSTYNE AVENUE,QN,3
934 DEKALB AVENUE,BK,6
353 PROSPECT PLACE,BK,8
922 DEKALB AVENUE,BK,10
924 DEKALB AVENUE,BK,10
936 DEKALB AVENUE,BK,6
374 KOSCIUSZKO STREET,BK,6
 TROUTMAN STREET,BK,9
1024 BROADWAY,BK,3
3308 ROMBOUTS AVENUE,BX,3
3306 ROMBOUTS AVENUE,BX,3
1432 51 STREET,BK,4
1430 51 STREET,BK,3
98-29 50 AVENUE,QN,3
98-19 50 AVENUE,QN,3
98-25 50 AVENUE,QN,3
102-20 RADCLIFF AVENUE,QN,7
349 PROSPECT PLACE,BK,6
848 FULTON STREET,BK,4
684 DEAN STREET,BK,6
701 UNION STREET,BK,9
30-88 21 STREET,QN,8
1313 53 STREET,BK,3
481 UNION STREET,BK,3
1338 50 STREET,BK,3
1353 51 STREET,BK,3
1351 51 STREET,BK,3
1355 51 STREET,BK,3
37-10 31 AVENUE,QN,9
37-14 31 AVENUE,QN,10
1420 56 STREET,BK,4
273 WEST 122 STREET,MN,6
269 WEST 122 STREET,MN,3
313 WEST 117 STREET,MN,10
558 WEST 161 STREET,MN,7
1262 58 STREET,BK,3
59 EAST 117 STREET,MN,3
55 EAST 117 STREET,MN,3
60 EAST 118 STREET,MN,3
57 EAST 117 STREET,MN,3
51 EAST 117 STREET,MN,3
54 EAST 118 STREET,MN,3
1244 50 STREET,BK,3
1242 50 STREET,BK,3
1272 51 STREET,BK,4
1270 51 STREET,BK,4
1342 49 STREET,BK,3
1344 49 STREET,BK,3
36-49 32 STREET,QN,3
1346 49 STREET,BK,3
346 11 STREET,BK,4
578 5 AVENUE,BK,8
269 WEST 154 STREET,MN,31
394 12 STREET,BK,6
465 CARROLL STREET,BK,4
47 WEST 127 STREET,MN,3
32 WEST 128 STREET,MN,6
28 WEST 128 STREET,MN,3
110 EAST 97 STREET,MN,6
121 EDGECOMBE AVENUE,MN,6
1520 WHITE PLAINS ROAD,BX,8
127 EAST 119 STREET,MN,4
515 WEST 169 STREET,MN,8
504 EAST 89 STREET,MN,10
266 7TH STREET,BK,3
257 8 STREET,BK,4
292 7 STREET,BK,4
483 UNION STREET,BK,3
485 UNION STREET,BK,3
378 6 AVENUE,BK,6
228 16 STREET,BK,6
230 16 STREET,BK,6
226 16 STREET,BK,5
231 16 STREET,BK,8
379 BALTIC STREET,BK,8
1094 MADISON STREET,BK,8
504 WEST 141 STREET,MN,12
447 HARMAN STREET,BK,4
526 KOSCIUSZKO STREET,BK,4
10 WEST 132 STREET,MN,16
WEST 163 STREET,MN,16
2127 HARRISON AVENUE,BX,15
74 PALMETTO STREET,BK,8
162 COVERT STREET,BK,8
974 GREENE AVENUE,BK,7
1002 WILLOUGHBY AVENUE,BK,4
18 STARR STREET,BK,7
1338 48 STREET,BK,3
306 EAST 82 STREET,MN,7
160 EAST 100 STREET,MN,12
162 CENTRAL AVENUE,BK,6
1552 DAHILL ROAD,BK,5
1479 54 STREET,BK,3
1481 54 STREET,BK,3
1468 53 STREET,BK,4
1359 47 STREET,BK,3
1357 47 STREET,BK,3
55 EAST 128 STREET,MN,8
972 GREENE AVENUE,BK,8
1418 46 STREET,BK,3
1420 46 STREET,BK,3
27-15 27 STREET,QN,10
1089 DEKALB AVENUE,BK,4
478 SMITH STREET,BK,3
127 4 PLACE,BK,8
130 4 PLACE,BK,3
53 PROSPECT PARK SW,BK,5
202 WEST 9 STREET,BK,6
175 12 STREET,BK,7
350 DEGRAW STREET,BK,4
614A KOSCIUSZKO STREET,BK,3
1119 BROADWAY,BK,10
1171 GREENE AVENUE,BK,7
98 HIMROD STREET,BK,8
96 HIMROD STREET,BK,7
96 16 STREET,BK,4
100 16 STREET,BK,4
98 16 STREET,BK,3
573 49 STREET,BK,8
803 EAST 163 STREET,BX,3
911 BRYANT AVE,BX,6
188 15 STREET,BK,7
192 15 STREET,BK,4
502 WILSON AVENUE,BK,8
1369 DEKALB AVENUE,BK,8
1357 DEKALB AVENUE,BK,27
1350 BROADWAY,BK,3
1061 GATES AVENUE,BK,3
1367 DEKALB AVENUE,BK,7
129 STOCKHOLM STREET,BK,8
1222 PUTNAM AVENUE,BK,7
1405 HANCOCK STREET,BK,6
174 KNICKERBOCKER AVENUE,BK,8
681 WOODWARD AVENUE,QN,7
1517 WEST 9 STREET,BK,6
1295 GREENE AVENUE,BK,9
1546 EAST 12 STREET,BK,6
1371 58 STREET,BK,3
1369 58 STREET,BK,3
 PALISADE PLACE,BX,8
1819 SEDGWICK AVENUE,BX,8
1401 WEST 6 STREET,BK,3
65 COOPER STREET,MN,6
1019 8 AVENUE,BK,4
3205 OXFORD AVENUE,BX,13
3203 OXFORD AVENUE,BX,12
151 WEST 9 STREET,BK,6
348 CLERMONT AVENUE,BK,3
61 COOPER STREET,MN,6
71 COOPER STREET,MN,6
114 4 PLACE,BK,4
1907 HARRISON AVENUE,BX,15
627 FAILE STREET,BX,8
4118 12 AVENUE,BK,4
1174 41 STREET,BK,3
1157 42 STREET,BK,3
1176 42 STREET,BK,4
1159 42 STREET,BK,3
1178 42 STREET,BK,4
1174 42 STREET,BK,4
1172 41 STREET,BK,3
846 QUINCY STREET,BK,7
844 QUINCY STREET,BK,7
341 SACKETT STREET,BK,3
81 JEFFERSON STREET,BK,8
101 TROUTMAN STREET,BK,8
114 JEFFERSON STREET,BK,8
103 TROUTMAN STREET,BK,8
1153 42 STREET,BK,3
1155 42 STREET,BK,3
193 MOFFAT STREET,BK,8
1022 BROADWAY,BK,3
26 LAWTON STREET,BK,7
1526 54 STREET,BK,3
1517 54 STREET,BK,3
54 TROUTMAN STREET,BK,7
945 WILLOUGHBY AVENUE,BK,8
982 WILLOUGHBY AVE,BK,8
1430 52 STREET,BK,4
1432 52 STREET,BK,3
1610 52 STREET,BK,3
1475 47 STREET,BK,3
1455 47TH STREET,BK,3
1246 38 STREET,BK,4
1250 38 STREET,BK,4
1269 38TH STREET,BK,4
914 PACIFIC STREET,BK,3
926 PACIFIC STREET,BK,3
949 PACIFIC STREET,BK,3
1129 HALSEY STREET,BK,36
363 DEAN STREET,BK,6
629 WARREN STREET,BK,4
4229 CARPENTER AVENUE,BX,8
23-31 31 DRIVE,QN,8
723 EAST 221 STREET,BX,9
 UNIVERSITY AVENUE,BX,9
 UNIVERSITY AVENUE,BX,9
239 EAST 7 STREET,MN,3
115-24A MYRTLE AVENUE,QN,3
115-24 MYRTLE AVENUE,QN,3
740 EAST 222 STREET,BX,8
741 EAST 217 STREET,BX,7
12 LAWTON STREET,BK,7
29 EVELYN PLACE,BX,11
710 EAST 221 STREET,BX,8
721 EAST 221 STREET,BX,9
3864 WHITE PLAINS ROAD,BX,6
27-10 37 AVENUE,QN,11
 HEATH AVENUE,BX,7
 HEATH AVENUE,BX,7
845 SOUTHERN BOULEVARD,BX,17
3178 VILLA AVENUE,BX,22
3017 BARNES AVENUE,BX,6
3015 BARNES AVENUE,BX,8
678 EAST 232 STREET,BX,10
94 EAST 208 STREET,BX,8
 SEDGWICK AVENUE,BX,8
637 EAST 224 STREET,BX,8
3836 CARPENTER AVE,BX,10
1645 POPHAM AVENUE,BX,9
1643 POPHAM AVENUE,BX,9
536 EAST 13 STREET,MN,11
608 EAST 11 STREET,MN,12
422 EAST 10 STREET,MN,11
106-12 JAMAICA AVENUE,QN,6
324 EAST 93RD STREET,MN,6
234 EAST 84 STREET,MN,3
71-20 163 STREET,QN,3
71-22 163 STREET,QN,3
71-62 162 STREET,QN,7
84-38 LEFFERTS BOULEVARD,QN,4
85-59 116 STREET,QN,3
85-61 116 STREET,QN,3
85-69 116 STREET,QN,3
85-65 116 STREET,QN,3
85-63 116 STREET,QN,3
85-67 116 STREET,QN,3
116-09 MYRTLE AVENUE,QN,3
85-57 116 STREET,QN,3
86-25 116 STREET,QN,3
88-26 54 AVENUE,QN,3
88-36 54 AVENUE,QN,7
84-42 LEFFERTS BOULEVARD,QN,4
85-03A 57 AVENUE,QN,6
85-05 57 AVENUE,QN,6
85-15 57 AVENUE,QN,3
85-07A 57 AVENUE,QN,6
85-16 57 AVENUE,QN,3
85-12 57 AVENUE,QN,3
84-40 LEFFERTS BOULEVARD,QN,4
116-11 MYRTLE AVENUE,QN,3
2830 BRIGHTON 3 STREET,BK,4
2769A EAST 15TH STREET,BK,6
2926 BRIGHTON 6 STREET,BK,8
3017 BRIGHTON 8TH STREET,BK,7
54-21 102 STREET,QN,6
55-09 102 STREET,QN,4
99-13 CORONA AVENUE,QN,3
99-16 CORONA AVENUE,QN,3
55-03 98 STREET,QN,3
55-07 98 STREET,QN,3
102-08 LEWIS AVENUE,QN,3
102-18 RADCLIFF AVENUE,QN,7
518 EAST 147 STREET,BX,7
57-32 GRANGER STREET,QN,6
600 OAK TERRACE,BX,14
 AVENUE U,BK,5
13 WOLCOTT STREET,BK,3
113A COLUMBIA STREET,BK,3
337 EAST 188 STREET,BX,8
389 EAST 198 STREET,BX,8
2573 EAST 14 STREET,BK,9
809 9 AVENUE,MN,10
 BRONXWOOD AVENUE,BX,8
385 EAST 198 STREET,BX,10
3002 PERRY AVENUE,BX,24
37-29 32 STREET,QN,10
372 EAST 194TH STREET,BX,7
246 EAST 48 STREET,MN,3
2115 EAST 15 STREET,BK,5
27-14 39 AVENUE,QN,6
637 HUDSON STREET,MN,3
35-24 31 STREET,QN,3
30-86 14 STREET,QN,7
9-15 27 AVENUE,QN,8
18 ELDRIDGE STREET,MN,10
113 ELDRIDGE STREET,MN,12
294 BROOME STREET,MN,8
65 THOMPSON STREET,MN,5
54 MAC DOUGAL STREET,MN,4
46 HESTER STREET,MN,4
1232 FRANKLIN AVENUE,BX,8
26-11 21 STREET,QN,4
30-75 32 STREET,QN,7
30-83 32 STREET,QN,7
11 MONROE STREET,MN,12
293 TROUTMAN STREET,BK,8
173 WEST 161 STREET,BX,4
528 EAST 6 STREET,MN,10
420 NEW JERSEY AVENUE,BK,3
203 MADISON STREET,MN,6
32 RUTGERS STREET,MN,10
621 EAST 161 STREET,BX,8
2737 BRIGHTON 6 STREET,BK,5
199 NEW JERSEY AVENUE,BK,9
674 EAST 232 STREET,BX,10
429 WYONA STREET,BK,8
431 WYONA STREET,BK,8
449 LIBERTY AVENUE,BK,10
722 EAST 220 STREET,BX,8
3866 WHITE PLAINS ROAD,BX,6
639 EAST 224 STREET,BX,10
735 FENOMORE STREET,BK,6
668 RUTLAND ROAD,BK,8
741 FENIMORE STREET,BK,7
739 FENIMORE STREET,BK,6
664 RUTLAND ROAD,BK,8
737 FENIMORE STREET,BK,6
417 RUTLAND ROAD,BK,7
422 RUTLAND ROAD,BK,6
 HAWTHORNE STREET,BK,9
659 EAST 222 STREET,BX,10
3825 CARPENTER AVENUE,BX,14
626 EAST 223 STREET,BX,8
 CARPENTER AVE,BX,10
453 MAPLE STREET,BK,8
451 MAPLE STREET,BK,8
542 BROOKLYN AVENUE,BK,4
536 BROOKLYN AVENUE,BK,3
435 MAPLE STREET,BK,5
433 MAPLE STREET,BK,5
1654 PARKER STREET,BX,7
51-36 GOLDSMITH STREET,QN,4
742 EAST 222 STREET,BX,8
110 EAST 53 STREET,BK,8
1433 DORIS STREET,BX,8
41-10 69 STREET,QN,3
41-11 71 STREET,QN,4
41-41 71 STREET,QN,4
41-52 71 STREET,QN,4
51 EAST 51 STREET,BK,7
53 EAST 51 STREET,BK,6
42-17 74 STREET,QN,3
45-11 78 STREET,QN,3
78-11 46 AVENUE,QN,3
42-50 81 STREET,QN,3
61-46 GRAND AVENUE,QN,7
893 MYRTLE AVENUE,BK,8
336 DAHILL ROAD,BK,4
2819 CLARENDON ROAD,BK,9
460 EAST 29 STREET,BK,5
454 EAST 29 STREET,BK,4
458 EAST 29 STREET,BK,4
452 EAST 29 STREET,BK,4
456 EAST 29 STREET,BK,4
3405 FARRAGUT ROAD,BK,10
481 MONROE STREET,BK,6
479 MONROE STREET,BK,7
3206 GLENWOOD ROAD,BK,9
3208 GLENWOOD ROAD,BK,9
1252 BUSHWICK AVENUE,BK,3
731 EAST 32 STREET,BK,6
729 EAST 32 STREET,BK,6
1612 NEW YORK AVENUE,BK,8
1026 BROADWAY,BK,3
646 GREENE AVENUE,BK,4
733 LAFAYETTE AVENUE,BK,8
782 MYRTLE AVENUE,BK,10
27 VAN BUREN STREET,BK,7
862 EAST 35 STREET,BK,6
860 EAST 35 STREET,BK,6
979 EAST 34TH STREET,BK,6
977 EAST 34TH STREET,BK,7
778 LIVONIA AVENUE,BK,8
780 LIVONIA AVENUE,BK,8
762 EAST 32ND STREET,BK,8
764 EAST 32ND STREET,BK,8
771 EAST 32 STREET,BK,6
773 EAST 32 STREET,BK,6
1218 PUTNAM AVENUE,BK,7
1840 NOSTRAND AVENUE,BK,3
3506 FARRAGUT ROAD,BK,8
1540 BROOKLYN AVENUE,BK,8
1544 BROOKLYN AVE,BK,9
1538 BROOKLYN AVENUE,BK,8
3514 FARRAGUT ROAD,BK,8
605 MARCY AVENUE,BK,3
334 EVERGREEN AVENUE,BK,8
628 EAST 31ST STREET,BK,6
630 EAST 31ST STREET,BK,6
80-32 CORNISH AVENUE,QN,3
80-28 CORNISH AVENUE,QN,3
83-18 CORNISH AVENUE,QN,3
83-07 DONGAN AVENUE,QN,3
83-16 CORNISH AVENUE,QN,3
83-09 DONGAN AVENUE,QN,3
78-13 46 AVENUE,QN,3
84-24A 57 ROAD,QN,4
27 DODWORTH STREET,BK,5
1250 BUSHWICK AVENUE,BK,3
94-47 ALSTYNE AVENUE,QN,3
42-56 81 STREET,QN,3
42-52 81 STREET,QN,3
85-18 57 AVENUE,QN,3
90-05 CORONA AVENUE,QN,4
90-15 CORONA AVENUE,QN,4
90-17 CORONA AVENUE,QN,4
2493 OCEAN AVENUE,BK,6
2491 OCEAN AVENUE,BK,10
53-12 90 STREET,QN,3
88-41 54 AVENUE,QN,3
90-50 53 AVENUE,QN,3
90-13 CORONA AVENUE,QN,4
90-19 CORONA AVENUE,QN,4
87-74 52 AVENUE,QN,6
87-72 52 AVENUE,QN,8
385 JEFFERSON AVENUE,BK,3
2934 BRIGHTON 4 STREET,BK,6
407 OCEAN VIEW AVENUE,BK,6
701 BRIGHTON 7 STREET,BK,6
42-54 81 STREET,QN,3
60 EAST 127 STREET,MN,8
194 WEST 134 STREET,MN,3
70 WEST 132 STREET,MN,3
3411 GUIDER AVENUE,BK,6
2961 BRIGHTON 3 STREET,BK,5
42-15 69 STREET,QN,3
193 HENRY STREET,MN,5
18 EAST 118 STREET,MN,3
1800 MADISON AVENUE,MN,3
4 EAST 118 STREET,MN,3
1443A 5 AVENUE,MN,3
1443 5 AVENUE,MN,3
6 EAST 118 STREET,MN,3
1445 5 AVENUE,MN,3
1453 5 AVENUE,MN,3
602 OAK TERRACE,BX,14
1122 LAWN COURT,BK,5
345A BLEECKER STREET,BK,6
374A BLEECKER STREET,BK,6
290 WEST 137 STREET,MN,4
473 WILLIS AVENUE,BX,7
147 WEST 142 STREET,MN,10
146 WEST 133 STREET,MN,3
110 WEST 129 STREET,MN,13
64 EAST 120 STREET,MN,3
73 EAST 119 STREET,MN,3
77 EAST 119 STREET,MN,3
66 EAST 120 STREET,MN,3
69 EAST 119 STREET,MN,3
70 EAST 120 STREET,MN,3
318 EAST 141 STREET,BX,8
32-33 37 STREET,QN,3
257 JEFFERSON STREET,BK,3
136 ALEXANDER AVENUE,BX,5
424 EAST 143 STREET,BX,7
1002 COLLEGE AVENUE,BX,3
1004 COLLEGE AVENUE,BX,3
150 EAST 151 STREET,BX,6
648 KOSCIUSZKO STREET,BK,4
101 LOTT AVE,BK,6
353 AMBOY STREET,BK,4
1816 GATES AVENUE,QN,7
1823 PALMETTO STREET,QN,7
15 BAY 29 STREET,BK,6
819 LEXINGTON AVENUE,BK,10
2114 FULTON STREET,BK,8
2974 BRIGHTON 5 PLACE,BK,6
98-13 50 AVENUE,QN,3
98-33 50 AVENUE,QN,3
50-26 101 STREET,QN,7
106-11 50 AVENUE,QN,4
58-14 GRANGER STREET,QN,6
56-22 WALDRON STREET,QN,8
 EAGLE AVENUE,BX,13
703 EAST 156 STREET,BX,8
599 PROSPECT AVENUE,BX,12
55-15 98 STREET,QN,3
55-12 98 STREET,QN,6
55-08 98 STREET,QN,6
55-44 97 PLACE,QN,10
2973 OCEAN PARKWAY,BK,9
2963 BRIGHTON 1 STREET,BK,4
720 EAST 151 STREET,BX,12
766 UNION AVENUE,BX,8
2843 BRIGHTON 7 STREET,BK,7
2943 BRIGHTON 7 STREET,BK,5
2921 BRIGHTON 1ST STREET,BK,7
3056 DECATUR AVENUE,BX,9
2447 CAMBRELENG AVENUE,BX,8
61 BUCHANAN PLACE,BX,12
629 FAILE STREET,BX,8
2173 65 STREET,BK,8
418 WEST 49 STREET,MN,14
893 PACIFIC STREET,BK,8
895 PACIFIC STREET,BK,8
751 DEAN STREET,BK,4
891 PACIFIC STREET,BK,8
731 DEAN STREET,BK,3
16 UNDERHILL AVENUE,BK,4
762 DEAN STREET,BK,4
4578 MANHATTAN COLLEGE PY,BX,8
23-39 31 DRIVE,QN,6
53 DIAMOND STREET,BK,8
11-42 31 AVENUE,QN,7
14-18 31 AVENUE,QN,6
14-09 31 AVENUE,QN,7
14-07 31 AVENUE,QN,7
32-65 31 STREET,QN,5
32-70 32 STREET,QN,3
32-69 31 STREET,QN,5
32-73 31 STREET,QN,5
61-39 56 ROAD,QN,3
351 EAST 194 STREET,BX,3
361 EAST 194TH STREET,BX,8
245 EAST 53RD STREET,MN,5
149 NEWEL STREET,BK,7
216 ECKFORD STREET,BK,8
67 CARMINE STREET,MN,4
23-09 ASTORIA BOULEVARD,QN,9
25-56 CRESCENT STREET,QN,5
40-09 29 STREET,QN,20
15 LUQUER STREET,BK,3
23-18 BROADWAY,QN,6
473 HICKS STREET,BK,5
198 MONITOR STREET,BK,6
951 4 AVENUE,BK,4
55 SUMMIT STREET,BK,5
192 7 AVENUE SOUTH,MN,3
16 MONROE PLACE,BK,9
276 WATER STREET,MN,3
52 WEST 9 STREET,MN,6
134 EAST 26 STREET,MN,8
26 CLIFF STREET,MN,3
115 LEXINGTON AVENUE,MN,11
346 WEST 53 STREET,MN,9
85 MONTGOMERY AVENUE,SI,5
402 ST MARKS PLACE,SI,5
55 MONTGOMERY AVENUE,SI,6
242 WEST 22 STREET,MN,3
23-12 40 AVENUE,QN,6
415 EAST 162 STREET,BX,12
753 ST NICHOLAS AVENUE,MN,12
221 WEST 148 STREET,MN,10
26-60 30 STREET,QN,8
26-58 30 STREET,QN,8
27-31 CRESCENT STREET,QN,6
27-23 27 STREET,QN,8
2903 FREDRICK DOUGLASS BL,MN,14
3306 3 AVENUE,BX,3
3310 3 AVENUE,BX,3
385 HARMAN STREET,BK,8
921 EAGLE AVENUE,BX,10
915 EAGLE AVENUE,BX,10
3300 3 AVENUE,BX,3
3308 3 AVENUE,BX,3
