address,borough,unitsres
345 BERGEN STREET,BK,6
350 BERGEN STREET,BK,7
864 59 STREET,BK,5
1826 51 STREET,BK,3
928 57 STREET,BK,6
921 57 STREET,BK,6
8134 BAY 16TH STREET,BK,3
1544 41ST STREET,BK,4
134 ST MARKS PLACE,BK,9
338 LINCOLN ROAD,BK,6
336 LINCOLN ROAD,BK,6
287 MAPLE STREET,BK,6
910 ROGERS AVENUE,BK,3
2607 ALBEMARLE ROAD,BK,3
124 ERASMUS STREET,BK,10
383 RUTLAND ROAD,BK,6
532 NEW YORK AVENUE,BK,5
396 LEFFERTS AVENUE,BK,4
194 HAWTHORNE STREET,BK,8
2734 SNYDER AVENUE,BK,9
285 RUTLAND ROAD,BK,9
289 MAPLE STREET,BK,6
1286 NEW YORK AVENUE,BK,14
110-44 CORONA AVENUE,QN,4
110-56 CORONA AVENUE,QN,4
56-12 VAN CLEEF STREET,QN,7
385 RUTLAND ROAD,BK,8
329 RUTLAND ROAD,BK,6
327 RUTLAND ROAD,BK,6
56-26 VAN CLEEF STREET,QN,7
429 LINCOLN ROAD,BK,8
2524 ALBEMARLE ROAD,BK,6
110-58 CORONA AVENUE,QN,4
408 FENIMORE STREET,BK,6
316 HAWTHORNE STREET,BK,8
59-28 XENIA STREET,QN,5
2057 STORY AVENUE,BX,7
2059 STORY AVENUE,BX,7
291 FENIMORE STREET,BK,7
410 EAST 28 STREET,BK,10
342 RUTLAND ROAD,BK,6
103-41 120 STREET,QN,10
1578 60TH STREET,BK,6
1570 60TH STREET,BK,6
801 DRIGGS AVENUE,BK,8
1520 56 STREET,BK,3
1522 56 STREET,BK,3
159 SOUTH 9 STREET,BK,4
977 EAST 12 STREET,BK,6
119-11 103 AVENUE,QN,4
79 GREEN STREET,BK,7
68 GREEN STREET,BK,7
53 JAVA STREET,BK,7
75 SOUTH 6 STREET,BK,3
18 AVENUE C,MN,4
287 EAST 4 STREET,MN,9
650 EAST 6TH STREET,MN,5
229 EAST 2 STREET,MN,5
148 ATTORNEY STREET,MN,6
60 EAST 1 STREET,MN,8
1 ELDRIDGE STREET,MN,8
30 RUTGERS STREET,MN,10
6315 FT HAMILTON PARKWAY,BK,4
6313 FT HAMILTON PARKWAY,BK,4
337 BEDFORD AVENUE,BK,8
 POWELL STREET,BK,8
92 EAST 7 STREET,MN,8
19 MALTA STREET,BK,6
552 HINSDALE STREET,BK,3
302 BROOME STREET,MN,8
647 SHEFFIELD AVENUE,BK,8
388 CHRISTOPHER AVENUE,BK,10
943 60 STREET,BK,10
 ST JAMES PLACE,BK,7
723 58 STREET,BK,4
733 58 STREET,BK,4
728 57 STREET,BK,3
745 58 STREET,BK,5
643 SHEFFIELD AVENUE,BK,8
170 JAVA STREET,BK,6
112 INDIA STREET,BK,3
108 INDIA STREET,BK,9
744 ST LAWRENCE AVENUE,BX,8
5423 7 AVENUE,BK,10
2155 DALY AVENUE,BX,12
608 THWAITES PLACE,BX,3
56 QUINCY STREET,BK,6
72 QUINCY STREET,BK,5
769 57 STREET,BK,7
786 KENT AVENUE,BK,5
788 KENT AVENUE,BK,3
300 WEST 18 STREET,MN,4
343 WEST 16 STREET,MN,8
287 MCGUINNESS BOULEVARD,BK,10
209 KENT STREET,BK,9
5-18 51 AVENUE,QN,3
5-35 51 AVENUE,QN,5
5-12 47TH AVENUE,QN,5
6317 FT HAMILTON PARKWAY,BK,4
861 64 STREET,BK,4
303 COOPER STREET,BK,7
191 ST GEORGES CRESCENT,BX,8
187 ST GEORGES CRESCENT,BX,8
312 83 STREET,BK,5
42-17 74 STREET,QN,3
41-30 75 STREET,QN,4
950 ST JOHNS PLACE,BK,6
35-19 86 STREET,QN,5
35-25 86 STREET,QN,5
41-68 72 STREET,QN,6
41-39 71 STREET,QN,4
1250 42 STREET,BK,3
1236 42 STREET,BK,4
1252 42 STREET,BK,3
1232 42 STREET,BK,3
1245 42 STREET,BK,4
1227 43 STREET,BK,4
1229 42 STREET,BK,4
1251 43RD STREET,BK,4
1225 43 STREET,BK,4
1178 47 STREET,BK,4
1154 47 STREET,BK,3
1156 47 STREET,BK,3
47 STREET,BK,4
1155 47 STREET,BK,3
1157 47 STREET,BK,3
1150 46 STREET,BK,3
1152 46 STREET,BK,3
1152 47TH STREET,BK,4
940 40 STREET,BK,7
532 50 STREET,BK,8
348 43 STREET,BK,6
360 43 STREET,BK,8
331 44 STREET,BK,4
5003 11 AVENUE,BK,4
32-01 LEAVITT STREET,QN,8
140-07 32 AVENUE,QN,3
32-03 LEAVITT STREET,QN,8
32 AVENUE,QN,3
140-17 34 AVENUE,QN,3
32-18 UNION STREET,QN,8
32-24 137 STREET,QN,8
139-11 34 AVENUE,QN,7
139-17 34 AVENUE,QN,4
1143 41 STREET,BK,4
1145 41 STREET,BK,4
1345 46 STREET,BK,4
1242 45 STREET,BK,4
965 43 STREET,BK,8
140-20 33 AVENUE,QN,4
140-09 34 AVENUE,QN,3
1183 EAST 213 STREET,BX,8
2013 COLONIAL AVENUE,BX,11
1128 41 STREET,BK,3
1122 41 STREET,BK,3
1132 41 STREET,BK,3
1140 41 STREET,BK,3
1118 41 STREET,BK,3
1120 41 STREET,BK,3
1116 41 STREET,BK,4
1147 45 STREET,BK,3
1038 46 STREET,BK,4
318 EAST 32 STREET,BK,6
1298 NEW YORK AVE,BK,9
1160 45 STREET,BK,3
1156 45 STREET,BK,4
1154 45 STREET,BK,4
986 52 STREET,BK,6
4610 12 AVENUE,BK,3
4608 12 AVENUE,BK,3
1164 46 STREET,BK,3
1164A 46 STREET,BK,3
332 43 STREET,BK,5
35-31 109 STREET,QN,3
100-28 40 ROAD,QN,3
100-30 40 ROAD,QN,3
100-24 40 ROAD,QN,3
1425 43 STREET,BK,3
102-49 43 AVENUE,QN,8
100-18 40 ROAD,QN,7
100-16 SPRUCE AVENUE,QN,4
100-20 SPRUCE AVENUE,QN,4
100-12 SPRUCE AVENUE,QN,4
100-22 SPRUCE AVENUE,QN,4
1247 44 STREET,BK,3
1260 43 STREET,BK,4
35-11 103 STREET,QN,7
37-48 108 STREET,QN,4
37-42 108 STREET,QN,4
104-46 38 AVENUE,QN,4
104-50 38 AVENUE,QN,4
104-44 37 DRIVE,QN,3
104-46 37 DRIVE,QN,3
37-46 108 STREET,QN,4
37-54 108 STREET,QN,4
